# PIB Trimestral Colombia (Sin desestacionalizar a precios 
# constantes 2005)
fecha      pib
mar-00	66524
jun-00	68993
sep-00	71531
dic-00	77713
mar-01	67316
jun-01	69940
sep-01	72674
dic-01	79609
mar-02	67829
jun-02	72742
sep-02	74620
dic-02	81598
mar-03	70637
jun-03	74475
sep-03	77530
dic-03	85776
mar-04	74953
jun-04	77714
sep-04	80881
dic-04	91318
mar-05	78092
jun-05	82377
sep-05	85285
dic-05	94402
mar-06	82242
jun-06	87137
sep-06	91781
dic-06	101778
mar-07	88703
jun-07	92599
sep-07	97462
dic-07	109219
mar-08	93188
jun-08	97737
sep-08	101146
dic-08	109673
mar-09	94241
jun-09	99011
sep-09	102318
dic-09	112809
mar-10	97552
jun-10	102650
sep-10	105626
dic-10	118771
mar-11	103039
jun-11	109344
sep-11	113827
dic-11	126368
mar-12	109114
jun-12	114929
sep-12	116783
dic-12	130054
mar-13	112316
jun-13	120268
sep-13	123735
dic-13	137512
mar-14	119616
jun-14	125151
sep-14	128687
dic-14	142074
mar-15	122705
jun-15	128777
sep-15	132810
dic-15	146970
mar-16	125790
jun-16	131920
sep-16	134502
dic-16	149463
mar-17	127262
jun-17	133597
