#Wine sales
#Australia, monthly
#Jan 1980-Jun 1994
#Fort --- Fortified (th. of litres)
#DryW --- Dry Wine  (th. of litres)
#SwW --- Sweet Wine  (th. of litres)
#Red --- Red Wine  (th. of litres)
#Rose --- Rose Wine  (th. of litres)
#Spark --- Sparkling  (th. of litres)
#Total --- Total Wine sales
#by wine makers in bottles <= 1L.
#*ABS (Australian Bureau of Statistics)
# Time Series Data Library maintained by Rob Hyndman
Fort    DryW      SwW     Red   Rose    Spark   Total
2585    1954      85     464     112    1686   15136
3368    2302      89     675     118    1591   16733
3210    3054     109     703     129    2304   20016
3111    2414      95     887      99    1712   17708
3756    2226      91    1139     116    1471   18019
4216    2725      95    1077     168    1377   19227
5225    2589      96    1318     118    1966   22893
4426    3470     128    1260     129    2453   23739
3932    2400     124    1120     205    1984   21133
3816    3180     111     963     147    2596   22591
3661    4009     178     996     150    4087   26786
3795    3924     140     960     267    5179   29740
2285    2072     150     530     126    1530   15028
2934    2434     132     883     129    1523   17977
2985    2956     155     894     124    1633   20008
3646    2828     132    1045      97    1976   21354
4198    2687      91    1199     102    1170   19498
4935    2629      94    1287     127    1480   22125
5618    3150     109    1565     222    1781   25817
5454    4119     155    1577     214    2472   28779
3624    3030     123    1076     118    1981   20960
2898    3055     130     918     141    2273   22254
3802    3821     150    1008     154    3857   27392
2369    4001     163    1063     226    4551   29945
2369    2529     101     544      89    1510   16933
2511    2472     123     635      77    1329   17892
3079    3134     127     804      82    1518   20533
3728    2789     112     980      97    1790   23569
4151    2758     108    1018     127    1537   22417
4326    2993     116    1064     121    1449   22084
5054    3282     153    1404     117    1954   26580
5138    3437     163    1286     117    1897   27454
3310    2804     128    1104     106    1706   24081
3508    3076     142     999     112    2514   23451
3790    3782     170     996     134    3593   28991
3446    3889     214    1015     169    4524   31386
2127    2271     134     615      75    1609   16896
2523    2452     122     722     108    1638   20045
3017    3084     142     832     115    2030   23471
3265    2522     156     977      85    1375   21747
3822    2769     145    1270     101    1320   25621
4027    3438     169    1437     108    1245   23859
