fechas y
2001-01-01 2.04      
2001-02-01 2.33      
2001-03-01 2.19      
2001-04-01 1.63      
2001-05-01 2.22      
2001-06-01 2.22      
2001-07-01 2.34      
2001-08-01 2.08      
2001-09-01 2.26      
2001-10-01 2.50      
2001-11-01 2.26      
2001-12-01 1.71      
2002-01-01 2.08      
2002-02-01 2.24      
2002-03-01 1.59      
2002-04-01 2.26      
2002-05-01 2.18      
2002-06-01 1.93      
2002-07-01 1.99      
2002-08-01 2.12      
2002-09-01 2.12      
2002-10-01 2.00      
2002-11-01 2.12      
2002-12-01 1.75      
2003-01-01 2.38      
2003-02-01 2.14      
2003-03-01 2.24      
2003-04-01 1.69      
2003-05-01 2.14      
2003-06-01 2.08      
2003-07-01 2.32      
2003-08-01 2.44      
2003-09-01 2.41      
2003-10-01 2.48      
2003-11-01 2.27      
2003-12-01 1.75      
2004-01-01 2.37      
2004-02-01 2.21      
2004-03-01 2.12      
2004-04-01 1.52      
2004-05-01 2.02      
2004-06-01 2.16      
2004-07-01 2.41      
2004-08-01 2.46      
2004-09-01 2.60      
2004-10-01 2.40      
2004-11-01 2.07      
2004-12-01 1.74      
2005-01-01 2.03      
2005-02-01 2.18      
2005-03-01 1.63      
2005-04-01 2.24      
2005-05-01 2.21      
2005-06-01 2.32      
2005-07-01 2.40      
2005-08-01 2.28      
2005-09-01 2.27      
2005-10-01 2.58      
2005-11-01 2.12      
2005-12-01 1.58      
2006-01-01 2.04      
2006-02-01 2.18      
2006-03-01 2.16      
2006-04-01 1.48      
2006-05-01 2.21      
2006-06-01 2.33      
2006-07-01 2.66      
2006-08-01 2.43      
2006-09-01 2.46      
2006-10-01 2.62      
2006-11-01 2.09      
2006-12-01 1.61      
2007-01-01 2.04      
2007-02-01 2.04      
2007-03-01 2.07      
2007-04-01 1.57      
2007-05-01 2.36      
2007-06-01 2.40      
2007-07-01 2.48      
2007-08-01 2.74      
2007-09-01 2.50      
2007-10-01 2.44      
2007-11-01 2.06      
2007-12-01 1.63      
2008-01-01 2.05      
2008-02-01 1.85      
2008-03-01 1.23      
2008-04-01 2.21      
