fechas y
2001-01-01 1.58      
2001-02-01 1.75      
2001-03-01 1.63      
2001-04-01 1.45      
2001-05-01 1.56      
2001-06-01 2.07      
2001-07-01 1.81      
2001-08-01 1.74      
2001-09-01 1.54      
2001-10-01 1.45      
2001-11-01 0.57      
2001-12-01 1.15      
2002-01-01 1.50      
2002-02-01 1.66      
2002-03-01 1.34      
2002-04-01 1.67      
2002-05-01 1.81      
2002-06-01 1.60      
2002-07-01 1.70      
2002-08-01 1.87      
2002-09-01 1.47      
2002-10-01 1.59      
2002-11-01 0.74      
2002-12-01 0.82      
2003-01-01 1.43      
2003-02-01 1.77      
2003-03-01 1.47      
2003-04-01 1.38      
2003-05-01 1.66      
2003-06-01 1.66      
2003-07-01 1.61      
2003-08-01 1.74      
2003-09-01 1.62      
2003-10-01 1.39      
2003-11-01 0.70      
2003-12-01 1.07      
2004-01-01 1.48      
2004-02-01 1.48      
2004-03-01 1.50      
2004-04-01 1.27      
2004-05-01 1.56      
2004-06-01 1.61      
2004-07-01 1.55      
2004-08-01 1.69      
2004-09-01 1.49      
2004-10-01 1.32      
2004-11-01 0.53      
2004-12-01 1.03      
2005-01-01 1.62      
2005-02-01 1.63      
2005-03-01 1.40      
2005-04-01 1.73      
2005-05-01 1.73      
2005-06-01 1.80      
2005-07-01 1.92      
2005-08-01 1.77      
2005-09-01 1.71      
2005-10-01 1.53      
2005-11-01 0.67      
2005-12-01 1.09      
2006-01-01 1.71      
2006-02-01 1.90      
2006-03-01 1.68      
2006-04-01 1.46      
2006-05-01 1.86      
2006-06-01 1.85      
2006-07-01 1.88      
2006-08-01 1.86      
2006-09-01 1.62      
2006-10-01 1.45      
2006-11-01 0.67      
2006-12-01 1.18      
2007-01-01 1.68      
2007-02-01 1.74      
2007-03-01 1.70      
2007-04-01 1.49      
2007-05-01 1.81      
2007-06-01 1.96      
2007-07-01 1.97      
2007-08-01 1.91      
2007-09-01 1.89      
2007-10-01 1.65      
2007-11-01 0.70      
2007-12-01 1.17      
2008-01-01 1.76      
2008-02-01 1.78      
2008-03-01 1.53      
2008-04-01 1.90      
